node_id,longitude,latitude,node_index
366398340,106.7311872,10.7965524,314
366398396,106.6751609,10.797637,315
366398419,106.706678,10.8252639,316
366398485,106.597713,10.8668839,317
366398591,106.6392524,10.7774439,318
366398700,106.6574197,10.7508845,319
366398713,106.7101502,10.7455052,320
366398784,106.6050225,10.8857158,321
366398854,106.6776812,10.7970214,322
366398876,106.758638,10.8656547,323
366399001,106.6884687,10.8088148,324
366399085,106.6616347,10.75775,325
366399103,106.7295426,10.786767,326
366399247,106.6827711,10.8861549,327
366399268,106.7748408,10.8674624,328
366399303,106.6620913,10.7509955,329
366399313,106.6467912,10.7791921,330
366399347,106.8367322,10.8601288,331
366399647,106.6672908,10.8324696,332
366399671,106.6401114,10.8442933,333
366399840,106.5858284,10.7159537,334
366399883,106.755122,10.8076704,335
366400104,106.7299902,10.8734945,336
366400248,106.6896946,10.8035429,337
366400249,106.6770991,10.760492,338
366400431,106.6046358,10.8184504,339
366400457,106.6264374,10.8527543,340
366400793,106.6895819,10.8203795,341
366400860,106.7596586,10.8668993,342
366400952,106.7025728,10.7957289,343
366400984,106.798121,10.8642294,344
366401190,106.6268683,10.7827433,345
366401260,106.6728805,10.7786647,346
366401397,106.6112355,10.8839449,347
366401422,106.7645247,10.8723171,348
366401589,106.7304453,10.8531807,349
366401636,106.6688795,10.7544738,350
366401647,106.6529391,10.7834944,351
366401710,106.6326357,10.7560579,352
366401815,106.6881662,10.827334,353
366401822,106.6661951,10.8349776,354
366401876,106.6453115,10.7645601,355
366401937,106.6529986,10.7606564,356
366402120,106.7432765,10.7199382,357
366402253,106.6576837,10.7906011,358
366402259,106.7091645,10.8110139,359
366402294,106.6651197,10.8026938,360
366402301,106.7108802,10.7749435,361
366402337,106.7715725,10.8845846,362
366402395,106.6278945,10.7793465,363
366402417,106.7637037,10.8301721,364
366402514,106.7693363,10.8635732,365
366402544,106.5383123,10.6815793,366
366402755,106.6522037,10.7626655,367
366402833,106.5708811,10.6909942,368
366403007,106.7616515,10.8262714,369
366403027,106.6454868,10.7877208,370
366403042,106.6740191,10.7671362,371
366403093,106.7203779,10.8517936,372
366403171,106.6616795,10.7433941,373
366403186,106.6820435,10.8230178,374
366403436,106.6792545,10.8539809,375
366403515,106.6692245,10.7581623,376
366403668,106.7684119,10.880817,377
366403783,106.6851044,10.8886711,378
366403787,106.7628546,10.8508668,379
366403815,106.6571371,10.7848454,380
366403850,106.668972,10.7805496,381
366403965,106.6879295,10.8037712,382
366403994,106.6035322,10.8871653,383
366404002,106.7843789,10.7620738,384
366404048,106.6632549,10.7914446,385
366404053,106.6427235,10.7384808,386
366404092,106.7313465,10.7973627,387
366404094,106.6614108,10.7530346,388
366404192,106.6946835,10.8189812,389
366404239,106.7190173,10.8069599,390
366404240,106.7226725,10.7975864,391
366404280,106.7322955,10.8677243,392
366404398,106.6696414,10.8087163,393
366404401,106.6671455,10.8133416,394
366404473,106.6384803,10.7836896,395
366404501,106.6390161,10.7840685,396
366404542,106.6931652,10.8516255,397
366404559,106.5377764,10.6814478,398
366404610,106.6265209,10.8172607,399
366404649,106.6695229,10.7546016,400
366404655,106.6458587,10.7968922,401
366404915,106.7143268,10.7915021,402
366404948,106.6595139,10.7579997,403
366405053,106.7046857,10.747473,404
366405250,106.7245562,10.8311246,405
366405313,106.6352505,10.7481322,406
366405489,106.6789788,10.8033297,407
366405533,106.6673567,10.7663292,408
366405666,106.6598588,10.8361254,409
366405690,106.6408274,10.7956035,410
366405748,106.6687012,10.808744,411
366405787,106.7632915,10.8702226,412
366405813,106.6561149,10.7540368,413
366405871,106.6879933,10.8083456,414
366405885,106.7975348,10.8638693,415
366405940,106.7712556,10.844603,416
366406055,106.6158644,10.8826304,417
366406232,106.6643738,10.8059341,418
366406408,106.7438001,10.8020857,419
366406468,106.773864,10.8653706,420
366406615,106.7685414,10.8497547,421
366406841,106.6313514,10.7546911,422
366406898,106.759065,10.8669504,423
366407151,106.6557634,10.759084,424
366407164,106.664529,10.7506062,425
366407208,106.7567679,10.8126189,426
366407272,106.649206,10.7638547,427
366407705,106.6589366,10.7949729,428
366407708,106.6541237,10.7664916,429
366407911,106.6202766,10.7428314,430
366407937,106.6140373,10.8828737,431
366408031,106.6729139,10.7991336,432
366408169,106.7143376,10.8276741,433
366408242,106.631499,10.7791584,434
366408245,106.6769787,10.8033773,435
366408252,106.6985617,10.7596225,436
366408306,106.7660603,10.8359502,437
