_id,long,lat,in_segments
366375244,106.8226899,10.7877233,yes
366375254,106.5836131,10.8823369,yes
366375264,106.71586,10.7435001,yes
366375318,106.6220482,10.7569088,yes
366375343,106.5776148,10.799972,yes
366375394,106.6227221,10.7113998,yes
366375439,106.588977,10.8630708,yes
366375452,106.6775614,10.7993025,yes
366375474,106.6571312,10.7824462,yes
366375483,106.6011601,10.8795159,yes
366375493,106.7373671,10.8715613,yes
366375525,106.6290366,10.7789468,yes
366375527,106.5618894,10.8664807,yes
366375552,106.8195196,10.8059136,yes
366375602,106.6022885,10.8693519,yes
366375626,106.7645336,10.7795756,yes
366375627,106.6843768,10.8255893,yes
366375700,106.6929701,10.8481671,yes
366375760,106.5811899,10.8421002,yes
366375776,106.559596,10.867483,yes
366375808,106.6988243,10.7632816,yes
366375817,106.5944057,10.6964761,yes
366375864,106.7469451,10.8614917,yes
366375910,106.6035018,10.8771279,yes
366375934,106.729132,10.7828264,yes
366375943,106.663963,10.7956514,yes
366375946,106.5677524,10.863629,yes
366375951,106.8309722,10.8223081,yes
366375998,106.7428821,10.8710353,yes
366376034,106.6625545,10.8035072,yes
366376047,106.7178469,10.8420552,yes
366376079,106.7800794,10.868445,yes
366376094,106.665484,10.8541753,yes
366376109,106.7349099,10.8550441,yes
366376119,106.7197217,10.8282751,yes
366376129,106.7165859,10.8075772,yes
366376182,106.6394102,10.8565206,yes
366376253,106.5999805,10.8388573,yes
366376292,106.6769831,10.8616584,yes
366376294,106.5886853,10.6811027,yes
366376295,106.6786196,10.7522054,yes
366376311,106.7541026,10.8659983,yes
366376329,106.7165328,10.7566414,yes
366376331,106.7741968,10.7882321,yes
366376345,106.6553811,10.7623153,yes
366376362,106.7880836,10.8600846,yes
366376364,106.6654612,10.8544593,yes
366376366,106.5758521,10.8206925,yes
366376410,106.5914115,10.8153799,yes
366376424,106.7106773,10.7893855,yes
366376438,106.7426796,10.7733313,yes
366376445,106.6521589,10.7451723,yes
366376465,106.7101547,10.7434478,yes
366376482,106.6112334,10.8760512,yes
366376494,106.6775689,10.8308983,yes
366376502,106.6726799,10.747012,yes
366376516,106.563549,10.8720208,yes
366376523,106.5403001,10.6874985,yes
366376524,106.6730944,10.7343351,yes
366376533,106.6818021,10.8341991,yes
366376568,106.6013004,10.8673332,yes
366376571,106.8338635,10.8770895,yes
366376575,106.7966393,10.8181679,yes
366376597,106.6142345,10.7171742,yes
366376600,106.6028965,10.8615834,yes
366376649,106.5993406,10.8805125,yes
366376676,106.635984,10.8629318,yes
366376697,106.6005505,10.7512467,yes
366376708,106.6388984,10.7519774,yes
366376720,106.6311624,10.7840728,yes
366376803,106.6324605,10.7282458,yes
366376836,106.7112039,10.7449616,yes
366376872,106.6599962,10.7403219,yes
366376887,106.7120676,10.8104912,yes
366376960,106.5525879,10.6895811,yes
366376962,106.6350357,10.7363063,yes
366376987,106.7886125,10.8446244,yes
366377000,106.6537682,10.7335254,yes
366377002,106.790512,10.8597106,yes
366377012,106.6670704,10.7791045,yes
366377032,106.6298649,10.7158975,yes
366377079,106.7645969,10.779405,yes
366377082,106.6555464,10.7917146,yes
366377084,106.6524779,10.796588,yes
366377086,106.696314,10.8072534,yes
366377103,106.7068384,10.8221258,yes
366377129,106.5738011,10.8180902,yes
366377137,106.6058369,10.8776026,yes
366377178,106.5885407,10.7709066,yes
366377198,106.6293922,10.7949176,yes
366377224,106.7107835,10.7973815,yes
366377228,106.6442078,10.7354008,yes
366377263,106.7853157,10.8827631,yes
366377267,106.5890391,10.8620474,yes
366377277,106.5589557,10.8326947,yes
366377281,106.7985861,10.8464453,yes
366377295,106.6450138,10.7425615,yes
366377317,106.7101469,10.7460016,yes
366377320,106.5459822,10.6882034,yes
366377323,106.6381016,10.8606767,yes
366377334,106.5900013,10.8556129,yes
366377351,106.7442245,10.8800906,yes
366377375,106.6392462,10.7320977,yes
366377385,106.5738427,10.818087,yes
366377399,106.7015295,10.6856179,yes
366377412,106.8191302,10.8432366,yes
366377433,106.7158742,10.742486,yes
366377446,106.5905901,10.7644256,yes
366377467,106.7954677,10.8626358,yes
366377469,106.6241548,10.7780541,yes
366377537,106.7091523,10.6938699,yes
366377549,106.7627181,10.8508455,yes
366377556,106.606445,10.8412888,yes
366377672,106.7299665,10.8797392,yes
366377683,106.6237803,10.7979488,yes
366377703,106.7286171,10.7814816,yes
366377746,106.6444966,10.8767593,yes
366377788,106.7612926,10.8264367,yes
366377799,106.6935019,10.822251,yes
366377806,106.6804609,10.8646153,yes
366377810,106.6043603,10.8628479,yes
366377815,106.7319907,10.8770572,yes
366377850,106.7143825,10.8269061,yes
366377903,106.676877,10.7542068,yes
366377909,106.5737516,10.694033,yes
366377921,106.57824,10.8662004,yes
366377928,106.8388866,10.8763505,yes
366377951,106.5780897,10.7936466,yes
366377995,106.5834845,10.8883103,yes
366378008,106.7263224,10.8141687,yes
366378017,106.7408224,10.8771378,yes
366378027,106.6906481,10.8117572,yes
366378105,106.7818115,10.8666452,yes
366378162,106.6671571,10.7895569,yes
366378222,106.59162,10.7217243,yes
366378236,106.7740767,10.7852881,yes
366378246,106.599292,10.8772091,yes
366378249,106.6803843,10.7524372,yes
366378280,106.7327934,10.7283388,yes
366378284,106.6152683,10.868816,yes
366378312,106.6237766,10.8275276,yes
366378320,106.6206706,10.7820955,yes
366378323,106.6522405,10.742472,yes
366378327,106.7158627,10.7475468,yes
366378345,106.6453629,10.8739983,yes
366378352,106.615383,10.8864905,yes
366378369,106.7168775,10.8002083,yes
366378413,106.6273572,10.7384252,yes
366378461,106.5876994,10.6952016,yes
366378465,106.7033683,10.8110596,yes
366378475,106.6995948,10.7543252,yes
366378499,106.6515897,10.7891833,yes
366378573,106.7218053,10.74539,yes
366378580,106.7432746,10.7163812,yes
366378625,106.6858401,10.7932476,yes
