id,tags.oneway,segment_id
92,no,861
92,no,862
92,no,863
92,no,864
92,no,865
92,no,866
92,no,867
92,no,868
92,no,869
92,no,870
92,no,871
92,no,872
92,no,873
92,no,874
92,no,875
92,no,876
92,no,877
92,no,878
92,no,879
92,no,880
92,no,881
92,no,882
92,no,883
92,no,884
92,no,885
92,no,886
92,no,887
92,no,888
92,no,889
93,yes,890
94,yes,891
94,yes,892
94,yes,893
94,yes,894
94,yes,895
94,yes,896
94,yes,897
94,yes,898
94,yes,899
95,no,900
95,no,901
95,no,902
95,no,903
95,no,904
96,no,905
97,no,906
98,no,907
98,no,908
98,no,909
98,no,910
99,no,911
99,no,912
99,no,913
99,no,914
99,no,915
99,no,916
99,no,917
99,no,918
99,no,919
99,no,920
99,no,921
99,no,922
99,no,923
99,no,924
99,no,925
99,no,926
99,no,927
99,no,928
100,no,929
100,no,930
101,no,931
101,no,932
102,no,933
103,no,934
104,no,935
104,no,936
104,no,937
104,no,938
105,yes,939
105,yes,940
106,no,941
106,no,942
106,no,943
106,no,944
107,no,945
107,no,946
107,no,947
107,no,948
107,no,949
107,no,950
107,no,951
107,no,952
107,no,953
107,no,954
107,no,955
107,no,956
107,no,957
107,no,958
107,no,959
107,no,960
107,no,961
107,no,962
107,no,963
107,no,964
107,no,965
107,no,966
107,no,967
107,no,968
107,no,969
107,no,970
107,no,971
108,no,972
108,no,973
108,no,974
108,no,975
108,no,976
108,no,977
108,no,978
108,no,979
108,no,980
108,no,981
108,no,982
108,no,983
108,no,984
108,no,985
108,no,986
108,no,987
108,no,988
108,no,989
108,no,990
108,no,991
108,no,992
108,no,993
108,no,994
108,no,995
108,no,996
108,no,997
108,no,998
108,no,999
108,no,1000
108,no,1001
108,no,1002
108,no,1003
108,no,1004
108,no,1005
108,no,1006
108,no,1007
108,no,1008
109,no,1009
109,no,1010
110,no,1011
110,no,1012
110,no,1013
110,no,1014
110,no,1015
110,no,1016
110,no,1017
110,no,1018
110,no,1019
110,no,1020
110,no,1021
110,no,1022
110,no,1023
110,no,1024
110,no,1025
110,no,1026
110,no,1027
110,no,1028
110,no,1029
111,no,1030
112,no,1031
113,no,1032
113,no,1033
113,no,1034
113,no,1035
113,no,1036
113,no,1037
113,no,1038
114,yes,1039
115,yes,1040
116,no,1041
117,no,1042
117,no,1043
117,no,1044
117,no,1045
117,no,1046
117,no,1047
117,no,1048
117,no,1049
117,no,1050
117,no,1051
117,no,1052
117,no,1053
117,no,1054
117,no,1055
117,no,1056
117,no,1057
117,no,1058
117,no,1059
117,no,1060
117,no,1061
118,yes,1062
118,yes,1063
119,no,1064
120,yes,1065
120,yes,1066
120,yes,1067
120,yes,1068
120,yes,1069
120,yes,1070
120,yes,1071
120,yes,1072
120,yes,1073
120,yes,1074
120,yes,1075
120,yes,1076
121,no,1077
122,no,1078
122,no,1079
122,no,1080
122,no,1081
122,no,1082
122,no,1083
122,no,1084
122,no,1085
122,no,1086
122,no,1087
123,no,1088
124,no,1089
124,no,1090
124,no,1091
124,no,1092
124,no,1093
124,no,1094
124,no,1095
124,no,1096
124,no,1097
124,no,1098
124,no,1099
124,no,1100
124,no,1101
125,yes,1102
126,no,1103
126,no,1104
127,no,1105
127,no,1106
128,no,1107
129,yes,1108
130,yes,1109
130,yes,1110
130,yes,1111
130,yes,1112
130,yes,1113
130,yes,1114
130,yes,1115
130,yes,1116
130,yes,1117
130,yes,1118
130,yes,1119
130,yes,1120
130,yes,1121
130,yes,1122
130,yes,1123
130,yes,1124
130,yes,1125
130,yes,1126
130,yes,1127
130,yes,1128
130,yes,1129
130,yes,1130
130,yes,1131
130,yes,1132
130,yes,1133
131,no,1134
132,no,1135
133,no,1136
134,no,1137
134,no,1138
134,no,1139
134,no,1140
134,no,1141
134,no,1142
134,no,1143
134,no,1144
134,no,1145
134,no,1146
134,no,1147
134,no,1148
134,no,1149
134,no,1150
134,no,1151
134,no,1152
134,no,1153
134,no,1154
134,no,1155
134,no,1156
134,no,1157
134,no,1158
134,no,1159
134,no,1160
134,no,1161
134,no,1162
134,no,1163
134,no,1164
134,no,1165
134,no,1166
134,no,1167
134,no,1168
134,no,1169
134,no,1170
134,no,1171
134,no,1172
134,no,1173
134,no,1174
134,no,1175
134,no,1176
134,no,1177
134,no,1178
134,no,1179
135,yes,1180
136,yes,1181
136,yes,1182
136,yes,1183
136,yes,1184
136,yes,1185
136,yes,1186
136,yes,1187
136,yes,1188
136,yes,1189
136,yes,1190
136,yes,1191
136,yes,1192
136,yes,1193
136,yes,1194
136,yes,1195
136,yes,1196
136,yes,1197
136,yes,1198
136,yes,1199
136,yes,1200
136,yes,1201
136,yes,1202
136,yes,1203
136,yes,1204
136,yes,1205
136,yes,1206
136,yes,1207
136,yes,1208
136,yes,1209
136,yes,1210
136,yes,1211
136,yes,1212
136,yes,1213
136,yes,1214
136,yes,1215
136,yes,1216
136,yes,1217
136,yes,1218
136,yes,1219
136,yes,1220
136,yes,1221
136,yes,1222
136,yes,1223
136,yes,1224
136,yes,1225
136,yes,1226
136,yes,1227
136,yes,1228
136,yes,1229
136,yes,1230
136,yes,1231
136,yes,1232
136,yes,1233
136,yes,1234
136,yes,1235
136,yes,1236
136,yes,1237
136,yes,1238
136,yes,1239
136,yes,1240
137,no,1241
137,no,1242
137,no,1243
137,no,1244
137,no,1245
137,no,1246
138,no,1247
138,no,1248
138,no,1249
138,no,1250
138,no,1251
138,no,1252
138,no,1253
138,no,1254
138,no,1255
138,no,1256
138,no,1257
138,no,1258
138,no,1259
138,no,1260
138,no,1261
138,no,1262
138,no,1263
138,no,1264
138,no,1265
138,no,1266
138,no,1267
138,no,1268
138,no,1269
138,no,1270
138,no,1271
138,no,1272
138,no,1273
138,no,1274
138,no,1275
138,no,1276
138,no,1277
138,no,1278
138,no,1279
138,no,1280
138,no,1281
138,no,1282
138,no,1283
138,no,1284
138,no,1285
138,no,1286
138,no,1287
139,no,1288
140,no,1289
140,no,1290
141,yes,1291
141,yes,1292
141,yes,1293
141,yes,1294
141,yes,1295
141,yes,1296
141,yes,1297
141,yes,1298
141,yes,1299
141,yes,1300
141,yes,1301
141,yes,1302
142,no,1303
143,no,1304
143,no,1305
143,no,1306
143,no,1307
143,no,1308
143,no,1309
144,no,1310
145,yes,1311
145,yes,1312
145,yes,1313
145,yes,1314
146,no,1315
146,no,1316
146,no,1317
146,no,1318
146,no,1319
146,no,1320
146,no,1321
146,no,1322
146,no,1323
146,no,1324
146,no,1325
146,no,1326
146,no,1327
146,no,1328
146,no,1329
146,no,1330
146,no,1331
146,no,1332
146,no,1333
146,no,1334
146,no,1335
146,no,1336
146,no,1337
146,no,1338
146,no,1339
146,no,1340
146,no,1341
146,no,1342
146,no,1343
146,no,1344
146,no,1345
146,no,1346
146,no,1347
146,no,1348
146,no,1349
146,no,1350
146,no,1351
146,no,1352
146,no,1353
146,no,1354
146,no,1355
146,no,1356
146,no,1357
146,no,1358
146,no,1359
146,no,1360
146,no,1361
146,no,1362
146,no,1363
146,no,1364
146,no,1365
146,no,1366
146,no,1367
146,no,1368
146,no,1369
146,no,1370
146,no,1371
146,no,1372
146,no,1373
147,yes,1374
147,yes,1375
148,no,1376
149,no,1377
149,no,1378
149,no,1379
150,no,1380
151,yes,1381
151,yes,1382
151,yes,1383
151,yes,1384
152,yes,1385
152,yes,1386
152,yes,1387
152,yes,1388
152,yes,1389
152,yes,1390
153,no,1391
153,no,1392
153,no,1393
153,no,1394
153,no,1395
153,no,1396
153,no,1397
153,no,1398
153,no,1399
153,no,1400
153,no,1401
153,no,1402
153,no,1403
153,no,1404
153,no,1405
153,no,1406
153,no,1407
153,no,1408
153,no,1409
153,no,1410
153,no,1411
153,no,1412
153,no,1413
153,no,1414
153,no,1415
153,no,1416
153,no,1417
153,no,1418
153,no,1419
153,no,1420
153,no,1421
153,no,1422
154,no,1423
154,no,1424
154,no,1425
154,no,1426
154,no,1427
154,no,1428
154,no,1429
154,no,1430
154,no,1431
154,no,1432
154,no,1433
154,no,1434
154,no,1435
154,no,1436
154,no,1437
155,no,1438
156,yes,1439
157,yes,1440
157,yes,1441
158,yes,1442
158,yes,1443
159,no,1444
160,no,1445
160,no,1446
160,no,1447
160,no,1448
160,no,1449
160,no,1450
160,no,1451
160,no,1452
160,no,1453
161,no,1454
161,no,1455
162,yes,1456
163,no,1457
164,no,1458
164,no,1459
164,no,1460
164,no,1461
164,no,1462
164,no,1463
164,no,1464
164,no,1465
164,no,1466
165,no,1467
166,no,1468
166,no,1469
166,no,1470
166,no,1471
166,no,1472
166,no,1473
166,no,1474
166,no,1475
166,no,1476
166,no,1477
166,no,1478
166,no,1479
166,no,1480
166,no,1481
166,no,1482
166,no,1483
166,no,1484
166,no,1485
166,no,1486
166,no,1487
166,no,1488
166,no,1489
166,no,1490
166,no,1491
166,no,1492
166,no,1493
166,no,1494
166,no,1495
166,no,1496
167,no,1497
168,no,1498
168,no,1499
169,no,1500
170,no,1501
170,no,1502
170,no,1503
171,no,1504
172,yes,1505
172,yes,1506
172,yes,1507
172,yes,1508
172,yes,1509
172,yes,1510
172,yes,1511
172,yes,1512
172,yes,1513
173,no,1514
173,no,1515
174,yes,1516
175,yes,1517
175,yes,1518
175,yes,1519
175,yes,1520
175,yes,1521
175,yes,1522
175,yes,1523
175,yes,1524
175,yes,1525
175,yes,1526
175,yes,1527
175,yes,1528
175,yes,1529
175,yes,1530
175,yes,1531
175,yes,1532
175,yes,1533
175,yes,1534
175,yes,1535
175,yes,1536
175,yes,1537
175,yes,1538
176,yes,1539
177,no,1540
177,no,1541
177,no,1542
177,no,1543
177,no,1544
177,no,1545
177,no,1546
177,no,1547
177,no,1548
178,yes,1549
178,yes,1550
178,yes,1551
178,yes,1552
178,yes,1553
178,yes,1554
178,yes,1555
179,no,1556
179,no,1557
179,no,1558
179,no,1559
179,no,1560
179,no,1561
179,no,1562
179,no,1563
179,no,1564
179,no,1565
179,no,1566
179,no,1567
179,no,1568
179,no,1569
179,no,1570
179,no,1571
179,no,1572
179,no,1573
179,no,1574
179,no,1575
179,no,1576
179,no,1577
179,no,1578
179,no,1579
179,no,1580
179,no,1581
179,no,1582
179,no,1583
179,no,1584
179,no,1585
179,no,1586
179,no,1587
179,no,1588
179,no,1589
179,no,1590
179,no,1591
179,no,1592
179,no,1593
179,no,1594
179,no,1595
179,no,1596
179,no,1597
179,no,1598
179,no,1599
179,no,1600
179,no,1601
179,no,1602
179,no,1603
179,no,1604
179,no,1605
179,no,1606
179,no,1607
179,no,1608
179,no,1609
179,no,1610
179,no,1611
179,no,1612
179,no,1613
179,no,1614
179,no,1615
179,no,1616
179,no,1617
179,no,1618
179,no,1619
179,no,1620
179,no,1621
179,no,1622
179,no,1623
179,no,1624
179,no,1625
179,no,1626
179,no,1627
179,no,1628
179,no,1629
179,no,1630
179,no,1631
179,no,1632
179,no,1633
179,no,1634
179,no,1635
179,no,1636
179,no,1637
179,no,1638
179,no,1639
179,no,1640
179,no,1641
179,no,1642
179,no,1643
179,no,1644
179,no,1645
179,no,1646
179,no,1647
179,no,1648
179,no,1649
179,no,1650
179,no,1651
179,no,1652
179,no,1653
