id,s_node_id,e_node_id
801,4301,4582
802,4582,4301
803,4582,805
804,805,4582
805,805,6395
806,6395,805
807,6395,9536
808,9536,6395
809,9536,6393
810,6393,9536
811,6393,6392
812,6392,6393
813,6392,6394
814,6394,6392
815,6394,6396
816,6396,6394
817,6396,7434
818,7434,6396
819,7434,1222
820,1222,7434
821,1222,7706
822,7706,1222
823,7706,4581
824,4581,7706
825,4581,4719
826,4719,4581
827,4719,7435
828,7435,4719
829,7435,747
830,747,7435
831,747,6894
832,6894,747
833,1201,647
834,407,2154
835,10713,10714
836,10713,10715
837,10715,10713
838,10715,10764
839,10764,10715
840,10764,10760
841,10760,10764
842,10760,10763
843,10763,10760
844,10763,10716
845,10716,10763
846,10716,10717
847,10717,10716
848,10717,7475
849,7475,10717
850,7475,10719
851,10719,7475
852,10719,7482
853,7482,10719
854,7482,10718
855,10718,7482
856,10718,7476
857,7476,10718
858,7476,10720
859,10720,7476
860,10720,7472
861,7472,10720
862,7472,7483
863,7483,7472
864,7483,7470
865,7470,7483
866,7470,7478
867,7478,7470
868,7478,7469
869,7469,7478
870,7469,7481
871,7481,7469
872,7481,7479
873,7479,7481
874,7479,7466
875,7466,7479
876,7466,7480
877,7480,7466
878,7480,10721
879,10721,7480
880,10721,10722
881,10722,10721
882,10722,889
883,889,10722
884,889,7487
885,7487,889
886,7487,7488
887,7488,7487
888,7488,276
889,276,7488
890,991,6473
891,4118,4734
892,4734,7407
893,7407,7569
894,7569,4117
895,4117,4115
896,4115,4732
897,4732,4119
898,4119,3459
899,3459,6781
900,4425,4424
901,4423,9995
902,9996,951
903,365,263
904,10003,140
905,1676,4973
906,9036,386
907,1064,556
908,45,1064
909,622,45
910,336,622
911,197,7262
912,7262,197
913,7262,9731
914,9731,7262
915,9731,7263
916,7263,9731
917,7263,11277
918,11277,7263
919,11277,770
920,770,11277
921,770,1195
922,1195,770
923,1195,9079
924,9079,1195
925,9079,6244
926,6244,9079
927,6244,4569
928,4569,6244
929,9782,1013
930,197,9789
931,241,11193
932,11195,11194
933,3601,5144
934,201,543
935,4945,328
936,522,4945
937,1068,420
938,4495,1068
939,4557,5766
940,5764,5771
941,103,11172
942,11181,8333
943,11181,5218
944,5218,11181
945,6577,10233
946,6577,7608
947,7608,6577
948,7608,7607
949,7607,7608
950,7607,7596
